VideoID_N,filename,imageID,Second,Music_Sec_N,Music_Sec,Cut,Thematic_Content,Frame,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion088.jpg,88,1.47,1,A,1,Nirvana, close-up,159,50.7225,253,27.1006,20,20.5596
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion089.jpg,89,1.48,1,A,1,Nirvana, close-up,174,48.8223,253,24.7729,20,21.1841
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion090.jpg,90,1.5,1,A,0,Nirvana, close-up,78,58.2031,255,31.908,21,22.4705
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion091.jpg,91,1.52,1,A,1,Nirvana, close-up,145,61.373,242,33.6394,23,22.7241
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion092.jpg,92,1.53,1,A,1,Nirvana, close-up,85,44.4369,255,25.1948,20,23.7614
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion093.jpg,93,1.55,1,A,1,Nirvana, close-up,33,26.9054,255,51.8171,20,29.7565
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion094.jpg,94,1.57,1,A,0,Nirvana, median,71,32.0532,255,32.4738,20,24.0025
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion095.jpg,95,1.58,1,A,1,Nirvana, median,74,32.8046,255,32.0721,20,24.3135
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion096.jpg,96,1.6,1,A,0,Nirvana, median,29,39.564,255,111.9538,14,42.6356
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion097.jpg,97,1.62,1,A,0,Nirvana, median,8,36.9831,251,122.5309,3,40.0556
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion098.jpg,98,1.63,1,A,0,Nirvana, median,8,28.436,251,123.1225,0,46.8031
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion099.jpg,99,1.65,1,A,0,Nirvana, median,16,34.6586,255,117.438,3,43.8013
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion100.jpg,100,1.67,1,A,0,Nirvana, median,14,40.1225,252,119.6272,4,43.5304
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion101.jpg,101,1.68,1,A,1,Nirvana, median,71,42.1044,255,23.9627,18,30.4883
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion102.jpg,102,1.7,1,A,0,Nirvana, median,33,27.869,252,119.8743,15,33.2196
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion103.jpg,103,1.72,1,A,1,Nirvana, median,38,25.5796,255,112.1464,15,36.1902
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion104.jpg,104,1.73,1,A,1,Nirvana, long,63,35.4537,255,30.4118,21,21.1372
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion105.jpg,105,1.75,1,A,1,Nirvana, median,82,37.4633,255,31.7929,19,23.7176
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion106.jpg,106,1.77,1,A,0,Nirvana, median,94,41.5733,255,24.1321,19,21.5409
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion107.jpg,107,1.78,1,A,1,Nirvana, median,97,38.0507,255,29.268,19,19.8141
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion108.jpg,108,1.8,1,A,1,Nirvana, median,102,40.1516,255,28.1517,20,19.7152
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion109.jpg,109,1.82,1,A,1,Nirvana, long,95,43.4759,255,27.4114,20,22.8141
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion110.jpg,110,1.83,1,A,0,Nirvana, long,58,33.0976,255,26.873,20,21.7887
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion111.jpg,111,1.85,1,A,1,Nirvana, long,56,30.4525,255,28.7909,20,20.2416
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion112.jpg,112,1.87,1,A,1,Nirvana, close-up,95,40.3438,255,25.895,19,22.0712
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion113.jpg,113,1.88,1,A,0,WhiteStripes, median,28,62.2721,216,62.2079,93,89.1402
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion114.jpg,114,1.9,1,A,0,WhiteStripes, median,17,60.7197,206,69.0776,85,75.7546
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion115.jpg,115,1.92,1,A,0,WhiteStripes, median,12,70.5351,184,74.9149,93,71.3165
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion116.jpg,116,1.93,1,A,1,WhiteStripes, close-up,51,80.4706,184,82.9289,93,85.9156
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion117.jpg,117,1.95,2,B,1,Nirvana, median,57,31.0754,255,31.5211,20,18.6887
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion118.jpg,118,1.97,2,B,1,Nirvana, close-up,106,51.6238,255,29.6137,20,24.4169
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion119.jpg,119,1.98,2,B,1,Nirvana, median,63,52.4151,255,51.6237,20,25.8008
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion120.jpg,120,2,2,B,0,Nirvana, median,108,63.8091,255,26.2092,19,30.0014
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion121.jpg,121,2.02,3,C,1,Nirvana, close-up,19,61.7105,255,49.1166,9,68.1517
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion122.jpg,122,2.03,3,C,1,WhiteStripes, long,25,58.1966,102,71.8381,106,59.9367
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion123.jpg,123,2.05,3,C,1,WhiteStripes, long,46,65.3512,219,59.1989,56,106.1767
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion124.jpg,124,2.07,3,C,1,Nirvana, close-up,51,33.163,255,29.3874,16,38.1935
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion125.jpg,125,2.08,3,C,0,Nirvana, close-up,22,49.3901,255,111.3393,2,58.0751
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion126.jpg,126,2.1,3,C,0,Nirvana, close-up,32,50.0486,255,97.2157,10,53.4267
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion127.jpg,127,2.12,3,C,1,Nirvana, median,22,28.4497,255,106.2038,8,44.6619
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion128.jpg,128,2.13,3,C,1,WhiteStripes, median,111,81.4693,48,71.3748,113,56.7477
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion129.jpg,129,2.15,3,C,0,WhiteStripes, long,44,71.8635,173,76.1213,93,83.9516
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion130.jpg,130,2.17,3,C,0,WhiteStripes, long,14,47.0431,187,58.4037,60,65.2189
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion131.jpg,131,2.18,3,C,1,WhiteStripes, long,48,67.5735,113,73.0511,113,47.0883
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion132.jpg,132,2.2,3,C,1,Nirvana, median,59,24.8528,255,32.3712,20,20.9087
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion133.jpg,133,2.22,3,C,1,Nirvana, median,30,21.7706,255,36.4735,14,26.8721
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion134.jpg,134,2.23,3,C,1,Nirvana, close-up,140,64.3509,255,32.7946,21,21.5012
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion135.jpg,135,2.25,3,C,1,Nirvana, long,18,46.4162,255,120.7806,4,41.4389
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion136.jpg,136,2.27,3,C,1,WhiteStripes, long,92,91.1257,73,91.6897,103,67.2912
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion137.jpg,137,2.28,3,C,1,WhiteStripes, long,87,95.024,137,86.6019,113,59.5138
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion138.jpg,138,2.3,3,C,1,WhiteStripes, long,7,45.7252,127,62.8917,93,29.1891
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion139.jpg,139,2.32,3,C,1,Nirvana, close-up,42,33.7822,255,33.8984,16,41.6119
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion140.jpg,140,2.33,3,C,0,Nirvana, close-up,58,32.6169,226,29.2192,22,22.9711
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion141.jpg,141,2.35,3,C,1,Nirvana, close-up,99,44.6873,233,25.4231,24,20.1153
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion142.jpg,142,2.37,3,C,1,Nirvana, close-up,65,48.4248,255,72.6494,19,29.1783
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion143.jpg,143,2.38,3,C,1,Nirvana, median,68,34.6272,255,21.751,19,27.0288
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion144.jpg,144,2.4,3,C,0,WhiteStripes, median,39,67.9697,175,78.064,93,85.7179
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion145.jpg,145,2.42,3,C,0,WhiteStripes, median,48,77.3037,225,59.6038,99,92.9038
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion146.jpg,146,2.43,3,C,1,WhiteStripes, median,58,67.3518,196,81.0962,104,80.1138
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion147.jpg,147,2.45,3,C,1,Nirvana, median,8,24.4485,145,56.4279,93,35.6559
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion148.jpg,148,2.47,3,C,0,Nirvana, median,135,72.0819,255,58.968,14,43.2096
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion149.jpg,149,2.48,3,C,1,Nirvana, median,149,69.0297,255,24.6794,14,42.5565
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion150.jpg,150,2.5,3,C,0,Nirvana, median,62,80.6462,255,37.438,18,25.2461
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion151.jpg,151,2.52,2,B,1,Nirvana, long,78,30.0265,255,25.9375,20,22.2048
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion152.jpg,152,2.53,2,B,0,WhiteStripes, close-up,15,55.1875,159,64.1327,93,69.3773
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion153.jpg,153,2.55,2,B,0,WhiteStripes, long,23,71.9695,226,55.2278,99,93.5269
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion154.jpg,154,2.57,2,B,1,WhiteStripes, long,20,69.1598,214,64.433,93,90.466
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion155.jpg,155,2.58,2,B,1,WhiteStripes, median,30,85.4874,137,90.559,93,56.921
24_B,B_WhiteStripes_Nirvana_DJBootOXs_Panicversion156.jpg,156,2.6,2,B,0,WhiteStripes, close-up,111,105.4862,76,93.7486,93,54.5212
