imageID,Keywords,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,Count,Total Area,Average Size,%Area
148,B_Instrumental_main-track,135,71.8132,255,57.1995,14,49.3105,8,112606,14075.75,65.166
149,B_Instrumental_main-track,148,68.7465,255,17.2559,14,51.4354,2,123413,61706.5,71.42
150,G_Lyrics_complementarytrack,61,80.5392,255,38.9878,16,31.7856,15,41874,2791.6,24.233
151,G_Lyrics_complementarytrack,78,29.7086,255,17.6443,19,24.2158,13,142886,10991.231,82.689
152,B_Instrumental_main-track,14,55.2894,182,67.1844,93,71.3508,26,47887,1841.808,27.712
153,B_Instrumental_main-track,22,72.0811,235,52.704,93,94.0649,8,62278,7784.75,36.041
154,B_Instrumental_main-track,19,69.288,224,66.6417,93,91.716,11,54627,4966.091,31.613
155,B_Instrumental_main-track,29,85.5101,145,96.3801,93,57.7748,13,46199,3553.769,26.736
156,B_Instrumental_main-track,110,105.5939,78,100.7569,93,56.3916,15,62499,4166.6,36.168
157,B_Instrumental_main-track,6,87.9937,153,89.6785,93,47.0052,19,29420,1548.421,17.025
158,B_Instrumental_main-track,5,30.3133,153,62.9815,93,33.3622,11,3413,310.273,1.975
159,B_Instrumental_main-track,5,19.6971,153,58.2101,70,32.8023,13,3572,274.769,2.067
160,B_Instrumental_main-track,5,31.0542,185,67.6206,70,41.9776,15,2710,180.667,1.568
161,B_Instrumental_main-track,6,41.6332,170,72.8327,70,50.3286,12,5116,426.333,2.961
162,B_Instrumental_main-track,7,50.1777,192,74.3712,70,54.2398,13,7331,563.923,4.242
163,B_Instrumental_main-track,12,54.8267,218,70.507,51,52.1448,9,8734,970.444,5.054
164,B_Instrumental_main-track,23,50.7519,252,110.9122,5,63.63,18,41128,2284.889,23.801
165,B_Instrumental_main-track,32,48.2423,255,100.868,9,58.6599,14,58772,4198,34.012
166,B_Instrumental_main-track,42,50.4295,255,94.2191,10,60.4598,10,64597,6459.7,37.383
167,B_Instrumental_main-track,56,52.7874,255,82.9963,12,52.0638,5,71706,14341.2,41.497
168,B_Instrumental_main-track,13,46.5513,212,72.441,59,47.8425,18,8103,450.167,4.689
169,B_Instrumental_main-track,10,60.6494,182,78.7113,93,47.1529,11,15384,1398.545,8.903
170,B_Instrumental_main-track,28,72.0923,172,85.2895,70,58.0399,11,25391,2308.273,14.694
171,G_Lyrics_complementarytrack,84,40.0439,255,16.4247,19,23.7648,18,90676,5037.556,52.475
172,G_Lyrics_complementarytrack,80,37.1765,255,17.8313,19,28.2165,7,110875,15839.286,64.164
173,G_Lyrics_complementarytrack,73,39.0233,255,18.524,18,35.1669,14,99244,7088.857,57.433
174,G_Lyrics_complementarytrack,79,40.8088,255,23.7783,18,37.4625,10,112222,11222.2,64.943
175,G_Lyrics_complementarytrack,80,50.6366,255,27.3035,18,33.6379,7,112092,16013.143,64.868
176,R_Video_footage_overlaps,75,51.3849,255,32.1428,18,32.8355,9,102607,11400.778,59.379
177,R_Video_footage_overlaps,65,43.1377,255,55.9093,18,39.0476,6,103607,17267.833,59.958
178,B_Instrumental_main-track,40,26.9595,255,83.2703,15,48.1892,7,82133,11733.286,47.531
179,G_Lyrics_complementarytrack,75,53.9763,255,47.4813,19,40.0726,10,35448,3544.8,20.514
180,G_Lyrics_complementarytrack,64,43.2235,255,36.6011,18,46.2645,2,113444,56722,65.65
181,G_Lyrics_complementarytrack,74,54.6024,255,32.8092,19,38.9529,8,64317,8039.625,37.22
182,G_Lyrics_complementarytrack,77,50.7234,255,30.3523,19,34.8509,7,82166,11738,47.55
